timestamp,responseTime,testname,repeatTestCount,index,orderOfMagnitude.name,orderOfMagnitude.value,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,baseURL,concurrentUsers,currentIteration,telemetryStatus,requests,url,delay,total_heap_size_before,total_heap_size_executable_before,used_heap_size_before,heap_size_limit_before,malloced_memory_before,total_heap_size_after,total_heap_size_executable_after,used_heap_size_after,heap_size_limit_after,malloced_memory_after
2024-12-21T20:48:31.783Z,3.111,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:31.988Z,3.382,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:32.195Z,10.784,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:32.383Z,2.656,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:32.585Z,3.154,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:32.792Z,3.415,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:32.983Z,3.35,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:33.187Z,3.503,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:33.392Z,2.713,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:33.595Z,3.481,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:33.786Z,3.252,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:33.992Z,3.478,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:34.181Z,4.145,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:34.388Z,5.34,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:34.595Z,3.268,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:34.783Z,3.33,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:34.989Z,3.967,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
